Movie,Year,Nominations,Img
Marriage Story,2020,6,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMTEhUTEhIWFhUWFhYXFxUVGBcXFRcXFxoaFxgYGBcYHSggGholHRUXITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGi0lHyUtLS0tLS0tLSstLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLf/AABEIAREAuAMBIgACEQEDEQH/xAAcAAABBAMBAAAAAAAAAAAAAAAFAAMEBgECCAf/xABGEAACAQIEAwUFBgMGBQIHAAABAhEAAwQSITEFQVETImFxgQYUMpGhQlKxwdHwI2LhBxVygpLxJDNjosJTkxZDc4Oys9L/xAAZAQADAQEBAAAAAAAAAAAAAAAAAQIDBAX/xAAkEQEAAwACAwACAgMBAAAAAAAAAQIRAyESMUETUSJhQnGRBP/aAAwDAQACEQMRAD8A9TrM0qzXI2YrNKKhYJmd7jljlDFFXl3Tqx6kmmE2s0G4dxS87EXbBtgrKfaBiJk5p1J0EDQVMx+c286GGTvRPdaNSp6gxRg1NilUDHYklEFskG6VAPNVIzEx1gfWtrGK7o1EDmc0wJmZG+lATTWKhHHiSJWRv8XLU8uk1rwu62ZkZswhXVjqcrcp3MEb0AQilQEcTdctwgt2paFkAIAyqoAJEk5pJ/rT/DuMF0zXFAMiFBBMFQZOu2p+VGDRasUNx2K7ou22P8OCy6wynQg8pG809xB2LW7akrmksw3CrBgdCZigJlKoYxZgHKYO2hPLnEmk2KOgIMEcleYmDy0NAS6VQsDdYdojksbR+LmUIzLPjuPSouHxrABmIOfvGWCi2pjKoHk31owC1KhlzirAkZBA55hyifz+Va+9vK3NhnFtkDBhDfC46GaMArSisxSikGsUq2pUBtFZFKlTDNQ8NhmVrg0KMc69QW+IR06VJuXAoLMQANSSYA9ag3775nVb1pSJkH4lAEknXlmUnpI60A8MCOZ+lLGYduzKWzq2hLH4VOhI66cvGmBimGab9mQqk6RlzmLZPe2bWOpGlJ8QwJD37QykFoBVgBDHdjHdI/1TpQR3GYQ5E7OM1sgpOxgRlPgQacODHgOgyrp4UwuJZmCrfsknYAa/b5Zv+m//ALbdDWcPjQJL3rRWSAVBAkTIksQYCmf8J9GD3uQ6jzyrWuCwpV3do1hVA2CLMepmamAzqKzSMPwmDZUNsmAp/hsD3sp118RJFb+5n/1G/frU2KauX1UkMwECTOwG8k7DY/I9KAh4zBsyC2Dox77Emco1geJ2rfGYdi1t0iUJBB0BVozeukinziU5sBox10ML8Rg66SJ86wmLQzDroCTrsBEz03HzFAMjADr05dIjn4CsDh6iNeYPPl6+FRVv3e4TeQFthkaGMEmOumv+X5brduNmZbyBQVWcp3BAYGeeaRHppGrI9gsM3fa5Ga4dQNQFAgLPPSfnTOF4ecuV47uimAZUbEyN4AEfyit0xBOULftyYG3xMQzSuuqkIxH+A6mK0XFEDM2ItZQFcmI7jmFac2xggHakD7YITOn+kc6Yfh5zIFACBgzEAAnJqqwOUmprYlASCw038Oep5bHfoax70kgZhJjQ6HUkCZ2JIIE7kEUGdpU3h8QjgMjBgwDAqZBU7ERy0p00BilSpUg2pUqqd240nvHc8z1pWthxGrLjcILqFG+E/EPvDpr6fKoScHOme6Whg85YLN2YtNmMkEFQ2kfa8KDB2+8fmaaxeOW0pZ7mUDqaX5B4jQ9n10757qlBoIKCOzDDnkCiD4nrT2N4N2paXIDP2gAXUN2YtbzqInSBqfCvKOPe3b5T2BKzorGSx/wiYqn3uK4p0Zmv3SSY/wCY0z4a1pEWksdCf3CJY5yCSsEASoW7euHUnUlcQ1sk67nc06/B5XKXOXtLlzQEH+J2gic2kdryA+Hxrnnt72UAYi5miJ7R4k7sddhTXZYs/wDKfEP1btH18hNVn9jxdOWkhQOgAmI2EbcvKtorxH2Gx99W7O61zVZhy0gjzq8i833j8zWNrZOK8V1ioGP4ULrZpK93KSsgkawG1hlBMwQfMTVQ4ri2Wy5zGcpjU7nQV5q+PuAlbdy4XJ1bO0CeQ10pfkOOPXu+O4WbsFnhh8JVe6AQyt3SSdVcjfkDyrW3wjKWKvoyssFSTDBAe9m1MoTrO4GwrxTA4l7a5mu3CTtLt+ZprG8ZvBSxuPHTOQT6TMU/NX4nvFvAECzLT2RJEA6yjJrLE/anetLnDf4TW50e4zkxsHuG4QI84rmU8TxFwljeugE6AXHEfWtMVisRuL93/wBx/prWn32n8culV4J3rTM5PZBAABllUS7bEkHf+MSTt3RAEmsYfgYXs++TkREMgQyJkgR52gdz8Tda5uw/HbyyGu3Y0n+I0/jVq4LxXtSF7dzzjOwceI11qbWmpxx79ezLwFRpmkd4d4EkoQQLbwwDoAYAYHbeda2Tg0aZyQWtsZlj/CuG4oDMxIGw1nQaQda8vv8AapP8RyjEGczdx+XP4W/HzoZxrH3bZOW4+Vu8JZtQvxKNdNp+dRHJp/h/t7TgeGi0zFWMMqgr9kMJzMOhaQSNpE7kzMrxTD4i41kOl15Qhx3m5aaidVIBBHkat3A+Jm4oOY6iRqdOo9D+NHmU8eL7SpAVitGbeKqN8gZiTABJJOwFW8V4/wD2o8YNq2LKHvXGMx90GotGzEHBnjvt2qStkTG7t+Qqh8R49cvS11iQToPDyG01Buy3y3O37mazYsqDJOvjW1aRBzLex2t0z8C7TGsdFBpvsWLQWK2113kn+tT2xaqNDJ/f0qE1wsZ+yNT41acXT2W4YuQO4k7gHYD8zVssuBVb9ncYrWlEyRp8tKJ3b0VzWmddlIjOhj3xegpXcepUwYMSPyqq4/i4t6RJ6UFuccuMYyhR8zUTGi0RIz7ScbLAAsQsagbmqYvEyzZVGUbabxz16/rUTi+PJMTJ5mmeECc37860rx5Xyll5fy8YHMVjTAyiY0Ucif0/pT2B4Obneuak+g+QrS3a1UeE/M1aMEulRuR01iAq/wAOUCIoS2Gy6aHpOx8POrkcNNDOI8KJBpHKu2cMjGAcrdDp+OjDw3qfheCnWO5dQyOQPl4H6GhjpcUwRmjb73oam4LjbBlzKwC891j8qc78T0sdrGvkBJ1216jdWHX6GhftQQcOD/OSIPXQ/wCUyZ6U9bu5rhB0V+vXlt6a0L4irqrW7gnvSDyPKfUfUVMdSc+hn2PxMQhOkSpPQ8j4zpVn4Tlt3YXRWMx0Oxjw/XwqncAsgJo2nIztIgqfxosuMZMpJnKQfGJ+tKfZfHtlKkKVdDkbCubfbHFG5ir73T8LuqjoqmNPOPrXSQrlr2pcviLv81259HanWOzgFvYpm20HQafM02o8flTl9QIA2/eprFnrW7POxXh2HQ6svqxJ/wC0Uzi8UHbKuijwAn0FLtciafE23WOpqFYEZusUlL37JZRa03mDRm4SaqHAcVlGYH4TBHVf6cqudvUedct/bsp6V7iV8ITOp8BJ+lV/FYwNpB102irtibKmdBQHE4JASQompiYOYVC9a1qTwJu/lP2tKl41AZ6j8KhcIX+Oo6z+tb+XlSWM1y0StGHt6+WlWPCEACTQi0saj1qHdZnfvnKg2AMT51zt174eU5svzFEMTgJG1UvB4u2sKoOY/CBGYnwG5q2cFu3S0FpXoYJHypgB4lwc6nLQe7w25OiEjxB+hFev27APKsvg1jYVXimbQ8Tt4Ji2QW2HSNR8uVE04JcICXXWAJ7xBYA7CJnnXqd/DIqlsg06DWqxxjhjXWCBAboXuuCASo2zdKmYlVMlR/ajg1zBi3ctGVaQ8ahhupjykf5TTHDuITbAJ3IA9dRV04wMmEs27kFs8HnoA0+cZh86p3CeDh8SiqRlzSAeQ+Jh+Y8zT6mE26l0Uu1KkKVaORsK5e9o1Axd4dLl0f8Acf1rqIVyx7VXV97vFDp2r7/4iD9aqsdgIxvL1rSydug3pYttfAaCtbA28TW3xP1LRss3HEk6KP30qIk6ueZ/3ojjbegHQAD8T+Vb2rAZAiiT06nnU7iorsnOAhiHy716Lw5CLSA7hRPnFUr2bwD27ilhA/etXq2wrm5J2XXxxle2l614UD4ha3qwM1Dsbams2ij8SQr3udC3IkHY+FWjjGCJGlV+/giNzW9JhlaFj9nrsuqSTmE6mdOvWKn8X4dLaTWn9nOFBlsvekifr+lWzjWBZQWVZNZ2jtdfXan8I4eyNIBzHQsdWjz5V6FwOxkUaVUOH8QUnaDzB3q3cLxqkRNEdjMhacKakmhWFxQoojSK0iWFo7RsbcCoxbYAknwAoNaALdqrKOZPhGs9etHcRaDqVOxEHyNDcZhESywRQO6RIGvzqbLpbOnlPtHxS5iLzOgy2rfctrzjNBY+LHf06UZ9i+EkuL7GMugHUkEE/Iih1zDhMwbctt4f71d+B2QllAOevz1rOZF5ehrSrK1itnM3XeuTONNN+8Ol27B/ztXWa1yRx0xiL3/1rv8A+bVpxlKIy5pPKn7CjfpTdtu63XQ+grXDvoRVgQN4EgHmp+tb+z7qXyuSJMqw3U0NvA6dI0rexl0k5T1pTGwqtsnXp/8Ad2W13WL/AGsxifmBqKYwmKqt8JbESoZyV5d45WB5gjSjNy3BkVy2rkuyJ2BoXRFNXGFQA5rXtanDLFqDVf4nZ0oxfvULxjg1UJmUz2M40ln+GxymTr1nWrLj+NF2gXwRyyA/Unc+Vea4pknfWrDw/DXDZt3OTErJ08jPjr8qdo+ito3JEr3D/tBgPX8a34VjtSA0lSMw8OoPSieDw9m2AbrZyYhBzUiNvA86i4nhpJF0CD8IA+6OvX+lTi5n9LFgbzK0EyNweoNWfCX9KqPDL2e0pO6nKaseEfQURKLQK5qb3kGtVeawG1q5lnEKn7f8PCWbmJUa2wDlHQGJ+oPpQX2O9t1vlbN4BLmysvwP4R9k16Jj7C3LbIwlWBUg7EEQRXO/EuHvhcTlElQ4yt4TpPiKda1nY+pvMurlpVhKVNicWuTPajDFMTfVtxeufVyQflXWa1yp7RsXv3mYyzXbp9BcZQPoflV8fspA7NyD9Ky9rXTnWjrrTtm5y58q2TH6lqt4jQ09bhyABDHbaD6VMt4YOCSI862wdjI3IgGQdDUzaFxWdW32Z4U1m0wZpza5eS+VT3tVI4VcDWxqDTrW65ZnZdlYyOg26piobtFFcQlBcYYmlBzKHicRQDH47WF+dbcTx0kqunU0NC6etb0p9lzX5PkEtwgzpPiAfodKlf3tdLqz3HaDsSYjaANhp0qIw3ps1rkSw2Yeh8KxCmHX4Tr4+vjVxwmID5QK859jboyMp3DTHgR/vV74VeRe8SBHWuO0ZOPQrfzrEjeDwQQN/MZqV2wWq1xP2stAxbOby2+dR+HcUN1tT6Ugu1rEaU7h3k0NsvpRHA0QUx0dxN8KpJ5A149xe+r3GneSfT9zV89ruJ5AVHOvKMTcJc+JiqiNlG46jXYUqQFKrcx1a5W9pMG9rEXO0Qwbt4DQ7F2IIPP4prqgVz57XcT94xDAKAttnHjMwfUx6U4tknEao4wpjvenWKfwtgCdNR9dNvxqXeaSTyH1P70FM4S2dT0j5nUj5H6VU2nFRXs0MQBurazrP5GnUuqdj8xrUfGiFU9ZPpyqPaeDB+fWjx2D3JWXAXY1DlT9PWjeG4yw0uaj7wqqYcTzIbqOdP27rDQ7+GxHltWMw0iVzuXVZZUyKrPHcTlBp3AYkjy8KGe06ELm3U8x+Bp07nDtbpXkkyadtpp61jBjWOv7NScDazT4TXVLlhEK/U1qbJ+ZqfjsPlRD1mp+IRVso0a5J9TRoxX7V1kMqSD1GlFWtXrsqzs0AaTpPltQqz8Q8xVt4UsGCNYDn1MD8aJFO+kHgb5hkb4l08Yqw4IFGBBoc2Cy31ddAzFWHnqD9RVlfh5iuXkjLOvjn+I/gMUCo1o5hMSApqj4K7k0NEr+PhN96mFSB+1OMzO3hVW4fazXgOn+/wCVE+J3h3ifM+X+9RfZ8HtATzk8udaccfWd3S4pUhtSoc7da5p4uMhutza7c+WdgP19K6WG9c2+04/iR1ut8s0fhNJdPoXibUWwvWJ8un76VL91i3p9on9B+tZxyif8ygehSfxNFLFuVtj+Yz6d38/pRMtIhXOM4aLqp0Q6emn4VCxOD7mboSPzo9i7WfEqfvdofRRA/A/KpacMmzd8wR11gfvzp+eYXjugPC++ANm+yfEfZoq+GzKG2kkf4X5jyMfMGhXDLBOZRuBmU+K6/h+dXHg1gXYnRboH+VxqDUcnUqr6AcNaIJ5MOXI/0/D5UXtYNbtsqyyp3Xn/ALiiGP4UwXOoHaIduoEgg/UfKpPDXWA66qQG16Hw68jU79VjzPiWAbDXsp1XdW6qfzHOtuEf/M/e9Xj224Wt2wWTVkGYdY3+on5CqLwZvi8SBXVS3lDmtXxnD3HdFUdFFN8TvzZQeAHyFZ4+2vyFR7yTaT1NWmUC0dZ6a0b4LxX+KQ5ADAgE9T1NA4j1rU081ETMPQMa2ilRIJmfIQD9BVywjB0U+ANeZ+zIc22zNKD4RudN48NRp4VdeAYyUyc028VP9ZrDlr9dXDZvxuxAlaFvdJAFFsdckUA4mxW2Y3buj1/QSfSsPct59APFcYHOUA5ZEnrv9NKm8NxqW2th9C5kN4CAJ6UMx18Jc0EyANYERpoB5mmUwTXQt0EnvQQeUa6eFdda5DjtaddYilSHKsViTdd65s49czXFPS9cB9C/6V0mormO7dzXrqH7OIc/97fqaP7XRjFP/FVf5gfkyn/xNHQYTXTK7j/SHP8A5fSqfiLx7XXkR9DVmtYwXFbqWun5j+hpWjMXWfZvCx73a6dm34E/+VG2/wCTeA3y6ecwKpuDxZGIt67AD5qtGxjj3wN8o9YY/oaVoOrXBWAt1GjRimnmGEfWKMYG12GZTsrb9ATKn02oHdx4DAD7JJHkrkirBiMV31bdXWP3++dK0KgWt4nV1Y6/ED1BHe/8T6VV3xhsXmT7DSy+BJJYeU6+TVJxuNEKR8VswepXcfQkUP4uguKHXWII/T5aegqNxWN14pDZDqpBy+XNfMflVYwdnLfZBsHJHluPoalYTCs7DOxRAxOaCSDOgA5nbaa1xLdniyGUqcokHQzEfhW3F1LLl9QgccO3iTTuDXNZJ6CPmaa47uvlNSuBrNojq30Fb/GH+QTiEgnwFRmolibRhjH2oqE1ruhvEj5U4lMwM+zGPg9kx3Mof5ua+sfuaMJizauAgkA6aee3iJjTxqkoxBBGhBkHxFXLDMMRaDCM3OOTjceRpWhfHZYbmIB1oRibpa5A2A1PSdvIwD862sXcxyjViJA0meenzqGcWERjI75IM8uWnjGmu2sVz8df5Onkt10r3Eb2e7A5E1Z+D2sllBHJmPrVUwi57xjxNXQd1R4IBXTLlq6GWlWBSrnNutcv8RGTFXTyN148e8zfnXUArlricl7vVcQ5A/lLvP40Kqg8WTLdPQwR5HapPBsSBcAPM/jI/OoGJu5oMyJAHhTDuQ3oB+laeOxgmcnUm68XR5D6aflRC3i4fzn/ALtf1oWxzAN906+R1/GfnUnFH4PvAQR1gd1h4ER8qUxqqz7Om6TckeP1M1awR7sJPw7fiPxFVjhywrNEtMKOZjf0orwvh93EDJmKwNjtoIk+lZWbVaWrvaLmHxhlDfv1qyez3Cje0ggcyOVN+zvA1LkDvqrd65qFJ5BPv7b7VbOF5rb5dI8KiY7XHptgPZtc6sROX4TyHl1PjVL/ALXeBG3dt4xdjltuOhE5T5ESPQV6gLhUSuoO1VP26xK3sI6svwvbkHrnHTzq62yUWpNox5Tj7BuuCNAFGp5fqamYLCZRCkx9T+lSCnQRHL+lPW0iPGqteZa8fBFe59n7GDHrTV7AIfsjeNudHuD8Ma58XdWdGO5HUD9aOY72PkZrN0Ex3lbn5EbGo1raaepeT8R4KyyU1AOo5jy6imuAY/srkN8DaN4Hk3pV14lgrlog3EIIMN0YciDsaC8V4Mj95dCeY5+YrWvL8ly8n/l3+VD+PuvbdWQfFuOUrrM7761VL9wkATzPzo02IdbJV/jt6qeTLtPpI+QqBhsMrJm2JMD8JrSsfXNf9M+z1qXJ6CrbiPtDoFoDwHDZTc6aAHrrRy/u/wDlpymsdOhVrFYFKsDPCuVOJPGIu9O1ug/6zXVS1zXxP2axgxF6MJfZWd2BW1cI7zE6HLThVPapA6kdfxFTEwvaLmAkiJ8PP0/CpNv2Xx2cf8Fid9+xu/8A81MX2Xx6M2XC4gSNxauQQeXw1pMiOwHDAzp5evKrNg+GG6FLDQaK3MD7jeU0xc9lsarl1wd8giY7G4d9wRl86L8PwONEL7niVnf+Fcj5xWfJO9wvj66kU4RwpFkLE+POjeH9nu1IzsSv3AcqH/EBq3rUDBcKxWaTYvD/AO2/6VaOG2bw3s3PVG/Sse2/QphOGKi6AabRsPKgeMuxcK24LDf9KPX2uhNLbyf5W/Sq9f4G5ftCt4H+VG/Sqkqz+xLhmPUqc2h6HkarHty8Ydv+pcWPIa/lRVuHXFBy4e6WbZmVmaOfKF/E0E9qsDirlu0ow95oDTFtz0AmBSxpGbqo2hmBH21g+annVg9mOE54Z4Khjl8vH1mhZ4JjAEuDCX8y90jsbmq/KjljA4wZUtWL6qR3ptOI6wSN6JaWt11KfxLFSRbtbA95h+Aqx8HxqBVSBJG3Ogtrhl5EgWLhY7DI3zOlLAcOxFg9p2V1m59xj9I2oc+xPS1YvCK4KsoIPI6iq5jPY+009mWTw3HyOv1q2YZLjKCyMDzkEU6cM33T8jVYmOSa+peT8T9iLw2y3E1kDRoO+n9aqPGeEPaHdBAXdTuPHrXQ3uh+6flQrjXs4l9YZDPJgO8PWqjai1636t/14BgscVA/xVaL8XFYjcgU5xz+z3EW2/h2XdSZDIpMeBUCabwPAsYmcHDX9hB7J9fpWvlEsZpNY10GOVKkKVZIO1msUqAVKoXGeJLhrD33V2VADltgFzLBQFBIBMsOdRfZb2hs4+wMRYzBSzKVcAOrKdQwUkAwQd9mFGELzTOLulFLBS0EaLqYJAMDnAJPpQj2o9q7GB7LthcY3nyKtsKxGwLNmYQoLKJ/mFHjQEJOIDNl7O6NCcxTuiBMGDM+XPSm24oIBFq8SVzR2Z08D0Phvp5UQpTQEO1xEEgdndWdiy6bTyJ5T8q0HFRE9le8uzaToTz8vrT2J4jZtvbt3LqK90kW0YgM5G4Uc9x86lUBBXHnJnNq5BYgKFJeBIll5bfWsf3n/wBG9/o/DWp9YoAfd4k2XMti4YYBgRDZSpJZQJzRpI03MSYBjrxm53ZwtwZigO/dLdmYOkd0PcBO02t+9oYrBNAB14zc0nDXPgttoG0zBCw+Hdc503OQ6bxre4zdGUjCuQwBkZu6crMwIy8iFHjmO0a6J7Qu69pYwd+9Z+zcVrKdoPvWkuXFZl6E5Z3Egg0VwOLW6i3EmGEjMpVhyIZWAIIIIIPSmA0cauEE+7XARaNwAhu8QqkWx3dHLG4sHWLcx3hBTDXSyglSp17p3EEj8p9adJrFIyrFKlQCmsUqRoDBpVg0qQPVmsUqYBvbA/8ACP8A4rP/AO63VU9mv+A4zisEdLOMHvNjoH1LqPk/pbXrVs9rlJwrgAk5rOgEnS9bNAv7TuB3ry4bE4SfesPfTIQCe7cYK0gbqDlJnZQ3jVR+ikG/tAPa2buJ3X3zDYe1rpks3D2jeE3S48RaWvQMfi74crZw3aAAEu1xbakknurozFtOYA1GvSp/2g8M7PhtixaVnFu/hRoCzEKdWPOTqSfGmrnEA+OxaY+7iLa2nUYaxaN62LqROdexhrzk8pMTt0fuCFcR7eYZMHbxjLcFt7wsMsLmtvLBs2sEDKdRPKneJ+2KYdLL4jD3rYv3eztjus8ESGZFMrP3dW2kA6VQsNgrh4ThkNm4D/eysUZWLBM7GW30g6mrp7d2GbE8MhSwXGqWgEgCNz0HjRkaNS8ZxS122CGJwhW9euXBYzdm7WSqhiWYHukjkpO1T+IcRvobhTCF0tiSxuohcBcx7NdZjbvlNQfOg3tdZZuIcKIUkLevliASFBtgAk8qr+G4h2vvhx1zE+8LdvJZwlo37Y7MCLeRLRAuAnd2JAGpgalYNWzFe2NhcLYxSB3GJZLdi2IDvccwFMmFggyZgQd9J1s+07++e53cOLdzsu2LdsGTs5yllJQEkRqNKoncThXCreIcYZldryYi6jstq5ZuEqhRYJLhjoSBCsd4o1w+5hMdfvP/AHhZvYq5hbmHtLaR7SIjAliquxLtJJJnblTyBo4/tjFj3z3d/cwY7bMO0yZ8naizEm3Ou+aNctHsdYF6y6BoFy2yhhyDqQGHzmqBwDB4O3gbdjE2HbEohtvhZul7jqSBlQNlKNoc/wAEGSRBr0BF7O0AifAgC2wR9lYVAx05RNTJwoHDPa3EcOtW8PxPBXAlpRbXFWB2llkQZVZvu6AeJ6Cpnt/7RFuHpfwTuyXLlmL9pwkDtAChlg0nVSI0ggxR/wD+KcJEXHKPBmw6N2+m69jBZ/8AKCDykVTuPcFezwi4FssobFjECyoLNatNeDBcqzEKASBtJHKqj2S34v2iNs27b4dxfvOy2bBe0WcKuZ3LKxVUUbk66aA05heOfxxhsRb7K66F7cMHt3FX4wjwDmWQSpA0MiaB8aj3/BcRQ9phlS9ZuOgLC3nzBbkATlzd0tyAB2rGPQY3iWCu2DmtYRb73LoB7MtdUIltG2ZtCTEwN96WHoj7Pe1q41c2Hw90qpcOzlFCsswg1OZjA20AYSeVTfZ72htYvD+8JmRQXDrcgNbNskMHAJjQT5EUH/srsMnD0DKVPa3yQwKnW40Eg+EUIxHC7tviV7B21/4XiAGIuHSLfZsBiVj/AKkqh6dqOlGRo1e+HYvtbSXQrKHUOFcQwDaiRyMRp41JrFKpMqVYrNIHazSIpi9fgwFmmD1ZqN71/K3p50veeitv+mv1+howJNKai+9GJyH9+lbe8/yN6CaMCQDWZqK+JIMZTtvTfvp07h/fpRgTppTUZcVP2T+W01gYk80I+f6UYSB7QW2zWLhtNet23Y3LagMwJWEuhD8eXXujXvyASKgXLSYq7YNrCvbWzdF03rtk2GBUEC3bRwLhLEiTAXKDqTAo2cYf/TP79K2bFH7h5fhPSn2EomtajDEkz3Dp+9NKwMS33CP35UsPUqsTUcYg6ypEfXy0ptsYY+A89P2KMGpc1iozYnUjKf2Y/rWPeT907T+On0+tGDUqaF8Pwj9vfv3BBYrbtCQYs29Z0JALuzt1jIDqKle8n7p3H151g4o/d6UZISaVRjijMZf3+zWUvkmMp86MGn6VYJpUgk1ExWG+6o8Rt+YqVNImnEgN91MfBuNdeYmOfiKc7BoMLrpGvSd/SphrNPSwPXDsBovPry18fGtrdlgB3fPXbl16RU6lRoxAuWG3yakayZOhnr4Cse7HbJppGvT1ohWKNGINiwwYd2BprP8AWh1zh1x8ytYtAFmidQQ2YEnvSCQtv60frU0p7aUt4/In/YKvDu8WNhJCyp59oAI1zdS/pFaYrhjZiEw1goCcpaZ2EaZoOs9PTejhNKaIK0+XzFd/u+8k9lhsPucss4OhbKd+mXmNzT4s34cdhY+ElRmbVw5C5tduzg/4qNTWDRqcR8TaLGdDt1nx1pn3c6jIPn/WptIGnoxDXD/eTpEHz3+ladg33Bptr4z1qe1KjyGICYc8008/61ubRGgXQ9dY5dd6mUoo8hgfctESxUbbzzPLes2wwMhRqOv5T+4qZethhBpv3YdTRpYepVmlUmfpUqVAJ6S1ilQGy0qxSoDA/fyrJrFKgMGtazSoDVqTUqVAKkaVKgNaSUqVAKsClSoDK71haxSoDNYFKlQGwpUqVAf/2Q=="
The Irishman,2020,10,
The Two Popes,2020,3,
I Lost My Body,2020,1,
Klaus,2020,1,
American Factory,2020,1,
The Edge of Democracy,2020,1,
Life Overtakes Me,2020,1,
Roma,2019,10,
The Ballad of Buster Scruggs,2019,3,
